features/geometry/type,features/geometry/coordinates/0,features/geometry/coordinates/1,features/type,features/properties/mb_lengte,features/properties/breedte_in_m,features/properties/wgs84_geo_e,features/properties/sunk_in_period,features/properties/bodemdiepte_oud,features/properties/wgs84_geo_n,features/properties/bazoverzicht,features/properties/code_diepte,features/properties/totaal,features/properties/thuishaven,features/properties/opmerkingen,features/properties/mb_30,features/properties/datedredged,features/properties/mb_breedte,features/properties/tonnenmaatbruto,features/properties/codetermote,features/properties/depth_20,features/properties/nationaliteit,features/properties/code_vaargeul,features/properties/bouwjaar,features/properties/vorige_diepten,features/properties/code_lengte,features/properties/length_5,features/properties/opgeruimd_tot_op,features/properties/code_historiek,features/properties/teken_op_kaart,features/properties/lengte_in_m,features/properties/lading,features/properties/code_teken,features/properties/bodemdiepte_aangepast,features/properties/berging_datum,features/properties/termote,features/properties/dredgeddepth,features/properties/mb_strekking,features/properties/holte_in_m,features/properties/wraknummer,features/properties/teken_10,features/properties/gevonden_door,features/properties/opgeruimd_door_firma,features/properties/type_schip,features/properties/totaal_klasse,features/properties/name,features/properties/side_scan,features/properties/multibeam,features/properties/utm_31n_northing,features/properties/fairway_35,features/properties/datefound,features/properties/utm_31n_easting,features/properties/werf,features/properties/gezonken_op,features/properties/bijzondere_opmerkingen,features/properties/eigenaar,features/properties/code_mb,features/properties/hout___staal,features/id
Point,2.452240949763727,51.381294242173766,Feature,"33,33",,"002\xb0 27,134 E",99,"30,00","51\xb0 22,878 N",2014 / 13 - 203,3,"56,75",Oostende,,6,1992/10/02,"8,33","218,00",1,12,Belgisch,3,1866,"25,5 Wk__",4,5,,0,"25,0 Wk__","33,00",-,3,29.01,,193,"25,80","37,75",,B_122_227,7.5,,-,Lichtschip,4,WEST-HINDER LICHTSCHIP,,2015/07/01,461879.98,26.25,,5692370.01,-,1912/12/14,"Dit lichtschip ""West-Hinder"" werd NIET gelicht noch opgeruimd. Een ander lichtschip ""Westhinder"" zonk in positie 51 15 35 N - 02 46 15 E, zie BAZ 1960/13-94 (T) Vervolgens werd het wrak van de laatstgenoemde opgeruimd . Zie BAZ 's 1960/13-95 (T) en 1960/16-113.

Aanbrengen de tekst “Historic Wk” in magenta kleur  

Het scheepswrak West-Hinder in positie 51\xb022,878’N 002\xb027,134’E. 
(122/227 Vlaamse Hydrografie)is door de gouverneur van West-Vlaanderen als cultureel erfgoed onder water erkend. (06/06/2014)

B_122_227

Midden 51\xb0 22'.878 - 002\xb0 27'.134
Pt_01  51\xb0 22'.886 - 002\xb0 27'.144
Pt_02  51\xb0 22'.872 - 002\xb0 27'.127

Dieptecijfer gewijzigd naar LAT",Belgische Staat,1,Staal,193
Point,2.840457633681523,51.35986028864197,Feature,50,"8,81","002\xb0 50,427 E",99,"20,00","51\xb0 21,592 N",1996 / 15 - 121,4,"61,25",Antwerpen,,24,1960/12/09,"15,00","613,00",1,16,Belgisch,1,1903,"gevaarlijk wrak voor bovenscheepvaart ; 11,3 Wk ; 15 Wk__ GLLWS",4,5,150 dm,5,"14,9 Wk__","59,40",algemene cargo,3,19.11,1960/12/20,151,"15,20","198,14","3,96",B_121_250_b,7.5,,Ackermans & Van Haaren,Stoomschip,3,EMERAUDE,,1996/05/21,488891.8,8.75,,5689856.03,"Craig Taylor & Co., Stockton",1945/07/02,"Er bestaat enige twijfel over de naam van het wrak omdat, zie baz van 1953 nr 39/154,vermeld wordt dat de EMERAUDE 150 m beS de EMPIRE FAITH ligt. De positie van de laatstgenoemde is: 51 21 40 N - 02 50 21 E. Zie BAZ 137/05 en dossier B 121/250 a. De EMERAUDE werd in 1903 gebouwd als SAN LORENZO (van 1903 - 1908 Argentinie); GAUCHO ( van 1908 - 1911 Brazilie ); RIO PARDO (1911-1918 Brazilie); EMERAUDE ( 1918 - 1945  Belgie ). Gezonken na aanvaring op het wrak SS EMPIRE FAITH of PATH = B 122/251 a.

B_121_250_b

Midden 51\xb0 21'.592 - 002\xb0 50'.427
Pt_01  51\xb0 21'.606 - 002\xb0 50'.435
Pt_02  51\xb0 21'.580 - 002\xb0 50'.423

Dieptecijfer gewijzigd naar LAT","John Cockerill, Antwerpen",4,staal,151
Point,2.849713402779176,51.366679339247554,Feature,"30,01","8,75","002\xb0 50,983 E",99,"20,00","51\xb0 22,001 N",1996 / 15 - 121,4,"61,25",-,,24,1960/10/28,"8,33","250,00",1,16,-,1,,"gevaarlijk wrak voor bovenscheepvaart; 15,0 Wk__ GLLWS",4,5,150 dm GLLWS,6,"14,9 Wk__","59,00",-,3,18.82,,161,"15,20","152,65","3,90",B_122_251,7.5,,Ackermans & Van Haaren,,3,Onbekend,,1996/05/21,489537.79,8.75,,5690613.02,-,1937/05/31,"Er bestaat enige twijfel over de naam van het wrak omdat, zie baz van 1953 nr 39/154, vermeld wordt dat de EMERAUDE 150 m beS de EMPIRE FAITH ligt. De positie van de laatstgenoemde is: 51 21 40 N - 02 50 21 E. Dus in tegenspraak met BAZ nr 25 van 1960. Mogelijks is dit wrak de OSKOBEL. Zie BAZ 1937/05 en dossier B 121 / 250 b.
Uit het onderzoek van 21/05/1996 blijkt dat nog verscheidene hoge stukken aanwezig zijn. In het bijzonder in de positie 489 629 X en 5 690 824 Y steekt het wrakstuk ruim 4,36 m boven de omringende bodem uit. Ook in de positie 489 630 X en 5 690 816 Y kan men een verhoging van ruim 3 m vaststellen. Deze posities werden vastgesteld met DGPS en de ondiepten met het toestel Singlebeam Atlas Deso 20.

B_122_251

Midden 51\xb0 22'.001 - 002\xb0 50'.983
Pt_01  51\xb0 22'.007 - 002\xb0 50'.982
Pt_02  51\xb0 21'.994 - 002\xb0 50'.992

Dieptecijfer gewijzigd naar LAT",-,4,Staal,161
Point,3.199014569030238,51.37323376829257,Feature,60,"8,89","003\xb0 11,941 E",99,"11,80","51\xb0 22,394 N",1997 / 05 - 069,4,"61,25",-,,24,1984/07/05,"10,83","499,00",1,16,Nederlands,1,1952,"zichtbaar bij LW ,  8,0 Wk ,",4,5,,5,"07,6 Wk__","57,75","stukgoed , ijzer en lood",3,11.69,,176,"7,60","48,43",,B_122_312_a,7.5,,Van Gastel,Kustvaarder,3,ADMIRALENGRACHT,,1995/09/21,513852.43,8.75,,5691350.02,Bodewes Scheepswerven nv Martenshoek,1956/03/16,"Het schip zonk na een aanvaring met het stoomschip DEWSBURY in dichte mist op 16 maart 1956. Het wrak werd in 1960 slechts gedeeltelijk opgeruimd, zie duikersverslag van 25/08/1988, door TV  Bergingswerken.B_122_312_aMidden  51\xb0 22'.394 - 003\xb0 11'.941Pt_01   51\xb0 22'.406 - 003\xb0 11'.962Pt_02   51\xb0 22'.385 - 003\xb0 11'.924Dieptecijfer ongewijzigd in LAT",nv Splietshoff's Devracht Kantoor Amsterdam Nederland,4,Staal,176
Point,2.518675837932395,51.22167147276623,Feature,20,"5,00","002\xb0 31,121 E",99,"16,20","51\xb0 13,300 N",1994 / 06 - 068,4,"42,00",Zeebrugge,,6,1994/02/18,"6,52","39,33",1,16,Belgische,1,1965,"14.4 Wk , 13,7 Wk GLLWS",3,3.75,-,5,"13,6 Wk__","18,00",-,3,17.04,,50,"13,70","289,29",,B_113_231,7.5,,_,Vissersboot,5,Z. 577  SABRINA,,2007/03/27,466386.95,8.75,,5674586.13,"Hoekman & Zn., Urk, Nederland",1972/05/13,"De SABRINA  of Z.577 raakte met zijn netten vast aan een onbekend voorwerp.Het schip kapseisde en bleef met de kiel boven drijven. De vier bemanningsleden werden gered.

B_113_231

Midden 51\xb0 13'.300 - 002\xb0 31'.121
Pt_01  51\xb0 13'.300 - 002\xb0 31'.131
Pt_02  51\xb0 13'.301 - 002\xb0 31'.115

Dieptecijfer gewijzigd naar LAT","Joseph Welvaert - Bailleul, Zeebrugge",1,Staal,29
Point,2.605643013970877,51.42527866590517,Feature,"43,33","8,25","002\xb0 36,339 E",99,"29,00","51\xb0 25,517 N",1997 / 05 - 069,3,"39,25",Fecamp,,6,1987/10/26,"10,83","365,00",1,12,Frans,1,1947,"23 Wk ;  22 Wk__; 21,5 Wk__ GLLWS",4,5,-,5,"21,0 Wk__","42,00",geen,3,26.99,,240,"21,60","163,61","3,85",B_125_236,7.5,,-,Vissersboot,6,F1040 DUC DE NORMANDIE,,2015/10/09,472581.91,8.75,,5697192.98,"Beliard - Crighton, Oostende",1951/02/21,"Het schip is in een zware storm vergaan op 21 februari 1951. Hierbij konden slechts 2 van de 26 bemanningsleden gered worden.

B_125_236

Midden 51\xb0 25'.517 - 002\xb0 36'.339
Pt_01  51\xb0 25'.529 - 002\xb0 36'.335
Pt_02  51\xb0 25'.507 - 002\xb0 36'.346

Dieptecijfer gewijzigd naar LAT","Armement A. Ledun, rue de la Plage, Frcamp, Frankrijk",1,Staal,239
Point,2.537801581395604,51.64983167594748,Feature,160,"18,68","002\xb0 32,268 E",99,"35,00","51\xb0 38,990 N",2004 / 18 - 131,3,"39,25",,,6,,,"6974,00",1,12,,1,1951,,4,5,,5,"6,8 Wk__","156,10",,3,25.82,,269,"6,80",,,B_139_232,7.5,Ter Streep,,Vrachtschip,6,BIRKENFELS,,2015/08/03,468022.93,8.75,,5722193.81,Weser  Werk Seebeck Bremershaven,1966/04/07,"Op 7 april 1966 kwam het schip in aanvaring, bij dichte mist, met het Duitse schip Marie Louise Bolten ongeveer 1 mijl bezuiden het lichtschip Noordhinder. De Birkenfels was op weg van Bremen naar Khorramshar in de Perzische Golf met een lading van 8750 ton ijzererts, kunstmest en algemene goederen. Alle bemanningsleden werden gered.

B_139_232

Midden 51\xb0 38'.990 - 002\xb0 32'.268
Pt_01  51\xb0 39'.030 - 002\xb0 32'.270
Pt_02  51\xb0 38'.949 - 002\xb0 32'.282

Dieptecijfer is ongewijzigd naar LAT",Deutsche Dampshiff Geselshaft HANSA,1,Staal,268
Point,2.908811782247904,51.37271087785549,Feature,"53,33","16,15","002\xb0 54,529 E",2,"16,60","51\xb0 22,363 N",1996 / 17 - 129,4,"78,75",New Orleans,,24,,"8,33","6054,00",1,16,U.S.A.,3,1921,"gevaarlijk voor bovenscheepvaart ; 6,5 Wk__ ; 15 Wk__ GLLWS",4,5,150 dm,4,"14,9 Wk__","122,70",3.000 ton militaire uitrusting + rollen prikkeldraad,3,15.71,,174,"15,00","304,46",,B_122_254,7.5,,Ackermans & Van Haaren,Liberty,2,NASHABA,,1996/03/15,493652.76,26.25,,5691277.02,"Pacific Coast S.B. Co., Bay Point, California",1945/02/26,"Opgeruimd wrak tot op 150 dm.  In 1921 gebouwd door Pacific Coast S. voor eigendom van United States Shipping Board tot 1938. Van 1938 tot 1945 was het schip eigendom van Lykes Bros Steamship C\xb0, Inc - New Orleans. Het schip vaarde vol geladen op een mijn en zonk nabij 9 mijlen benoorden Oostende.

B_122_254

Midden 51\xb0 22'.363 - 002\xb0 54'.529
Pt_01  51\xb0 22'.372 - 002\xb0 54'.512
Pt_02  51\xb0 22'.357 - 002\xb0 54'.547

Dieptecijfer gewijzigd naar LAT","Lykes Bros S.S. Co.Inc., New Orleans",4,Staal,174
Point,3.081644780472232,51.384263447789316,Feature,"109,17",,"003\xb0 04,899 E",99,"10,50","51\xb0 23,056 N",1997 / 05 - 069,5,"47,25",,,6,1988/06/10,"23,33",,1,20,,1,,,4,5,,6,"05,3 Wk__",,,3,8.17,,198,"5,30","179,13",,B_123_304,7.5,,,,5,onbekend,,2007/03/29,505681.53,8.75,,5692561.01,,,Dieptecijfer ongewijzigd in LAT,,1,,198
Point,2.418644191326251,51.28605968966991,Feature,"12,5",,"002\xb0 25,119 E",99,"34,00","51\xb0 17,164 N",1996 / 17 - 129,2,"52,00",-,,24,1988/09/07,"5,83",,1,8,-,1,,"25,5 Wk__ GLLWS",3,3.75,-,6,"25,0 Wk__",,-,3,31.6,,107,"25,70","15,26",,B_117_225,7.5,,-,,4,onbekend,,1995/10/17,459458,8.75,,5681797.08,-,,"B_117_225

Midden 51\xb0 17'.164 - 002\xb0 25'.119
Pt_01  51\xb0 17'.166 - 002\xb0 25'.122
Pt_02  51\xb0 17'.162 - 002\xb0 25'.120

Dieptecijfer gewijzigd naar LAT",-,4,-,106
Point,3.050630182128597,51.391735147607726,Feature,u,"5,53","003\xb0 03,038 E",99,"11,00","51\xb0 23,504 N",1998 / 03 - 059,5,"62,75",Nieuwpoort,,24,,,"50,00",3,20,Belg,1,,"0,5 Wk",2,2.5,,,NIET op kaart,"20,80",,3,8.07,,,,,"2,50",B_123_303_c,7.5,Ter Streep,,Vissersboot,3,N 12,,1998/01/12,503522.7,8.75,,5693390,,1997/09/11,"Op 11 september 1997 is het vissersschip N 12 ""ARTHUR"" vastgeslagen  op de wrakresten van de SANSIP. Hierbij werd na een poging om het schip los te maken averij opgelopen. Na anderhalf uur is het schip gezonken, nagenoeg op de SANSIP. Alle bemanningsleden werden gered. Het wrak werd op 19 december 1997 volledig opgeruimd. Bij het eerste onderzoek van 15/09/1997 stelde men vast dat het wrak rechtop staat . Het hoogste gevonden punt bevindt zich op 0,5 m beneden het H-vlak, mogelijks zijn er nog hogere punten. Dit werd  vastgesteld met  de singlebeam van de werkboot bij hoog water. Duikersonderzoek was noodzakelijk om de hoogste punten te lokaliseren en hun respectievelijke niveaus te bepalen ten op zichte van het lokale H-vlak. Het duikersonderzoek werd op 23/10/1997 uitgevoerd met 3 duikers van SUBMERGO . (zie verslag). Het wrak werd op 19 december 1997 volledig opgeruimd. Op 12 januari 1998 werd een controlemeting met TER STREEP uitgevoerd. Uit het onderzoek blijkt dat het wrak volledig verwijderd is en geen wrakresten van de N12 aanwezig zijn.",Vanhoutte Ronny,4,Staal,287
Point,2.62022944520261,51.38163535709224,Feature,"30,83",,"002\xb0 37,214 E",99,"26,50","51\xb0 22,898 N",1996 / 17 - 129,3,83.50,-,,24,1982/11/04,"5,00",,1,12,Duits,4,,"20 Wk; 22,0 Wk__ GLLWS",4,5,-,6,"21,5 Wk__",,,3,22.47,,194,"22,00","169,29",,B_122_237,7.5,,-,Duikboot,1,UB 29,,1995/08/17,473570.9,35,,5692334.01,,,"Duitse duikboot uit de eerste wereldoorlog.

B_122_237

Midden  51\xb0 22'.898 - 002\xb0 37'.214
Pt_01   51\xb0 22'.906 - 002\xb0 37'.214
Pt_02   51\xb0 22'.891 - 002\xb0 37'.217

Dieptecijfer gewijzigd naar LAT",,4,Staal,194
Point,2.910326409848489,51.30702924939974,Feature,15,,"002\xb0 54,620 E",99,"7,50","51\xb0 18,422 N",2006 / 15 - 169,5,"64,00",Oostende,,24,,"3,13","26,75",1,20,Belgisch,1,,"5,9 Wk ; 5,5 Wk__ ;06,5 Wk__ GLLWS",3,3.75,,5,"06,4 Wk__",,-,3,7.31,,121,"6,50","251,00",,B_118_254,7.5,,-,Vissersboot,3,O.807  MAURICE,,1996/11/28,493749.26,8.75,,5683972.42,"J. Provoost, Hoogstraat 17, Nieuwpoort",,"Uit het SSS-onderzoek van 16/08/94 blijkt dit wrak nauwelijks 1 m boven de omringende bodem uit te steken.

Dieptecijfer gewijzigd naar LAT","Diana Belpaeme, Oostende",4,Hout,120
Point,2.343795931288196,51.68304175531664,Feature,35,"9,00","002\xb0 20,628 E",99,"36,00","51\xb0 40,983 N",,2,"61,50",,,6,,"9,00",,3,8,,4,,,4,5,,,,"35,00",,3,34.47,,,,"150,00","4,70",B_140_220,7.5,Ter Streep,,,3,onbekend,,2013/09/05,454634,35,2013/09/05,5725990,,,,,1,,290
Point,2.849315362238493,51.28657861273492,Feature,5,"2,60","002\xb0 50,959 E",1,"7,00","51\xb0 17,195 N",1996 / 17 - 129,5,32.50,,,0,1985/09/18,2,"5,00",1,20,Brits,1,1915,"06,8 Wk__ GLLWS",1,1.25,,3,"06,7 Wk__","13,70",-,1,6.2,,109,"6,80",93,"0,80",B_117_251,2.5,,-,CMB Coastal Motor Boat,6,Minensuchboot M3610,,2018/05/31,489491.79,8.75,,5681705.08,,,"CMB is een afkorting voor Coastal Motor Boat

Dieptecijfer gewijzigd naar LAT

Kleine wrakrest die bijna niet boven de bodem uitsteekt","Royal Navy,  Great-Britain",0,staal,108
Point,2.762616721288931,51.33131395054623,Feature,5,,"002\xb0 45,757 E",99,"12,00","51\xb0 19,879 N",1996 / 17 - 129,4,"57,50",-,,24,,"1,25",,1,16,,1,,"11,0 Wk GLLWS",1,1.25,-,6,"10,9 Wk",,-,3,10.7,,130,,"315,00",,B_119_245,7.5,,-,,4,onbekend,,1995/10/03,483461.83,8.75,1995/10/03,5686696.05,-,,"Gevonden tijdens de detaillodingen van de Middelkerkebank in 1995.

B_119_249

Midden 51\xb0 19'.707 - 002\xb0 49'.298
Pt_01   51\xb0 19'.718 - 002\xb0 49'.297
Pt_02   51\xb0 19'.697 - 002\xb0 49'.301

Dieptecijfer gewijzigd naar LAT",-,4,-,129
Point,2.923048716204389,51.246320037712984,Feature,35,,"002\xb0 55,383 E",99,"7,00","51\xb0 14,779 N",2015 / 07 - 094,5,"50,00",,,0,,"5,00",,3,20,,2,,,4,5,,,"05,2 Wk",,,3,6.83,,,,"144,00",,B_114_255_d,7.5,Hydro I,,,5,Flansea,,2014/07/25,494629,17.5,2013/02/26,5677220,,,"Scheepswrak ontdekt tijdens het FlanSea project.

In Oostende laat het FlanSea-projectteam na twee jaar onderzoek een eerste prototype te water van een boei die elektriciteit opwekt uit de beweging van de golven. 

B_114_255_d

Midden 51\xb0 14'.779 - 002\xb0 55'.383
Pt_01   51\xb0 14'.787 - 002\xb0 55'.374
Pt_02   51\xb0 14'.772 - 002\xb0 55'.392

minste diepte 5.2 m LAT

Aanbrengen de tekst “Historic Wk” in magenta kleur bij het wrak in positie 51\xb014,779’N 002\xb055,383’E, dat werd erkend als cultureel erfgoed onder water.

_(Bron: E-mail Kabinet gouverneur West-Vlaanderen d.d. 18/03/2015 - Ministerieel Besluit 10/03/2015)",,0,hout,303
Point,3.235819969552162,51.36109828199914,Feature,"15,83",,"003\xb0 14,149 E",99,"5,80","51\xb0 21,666 N",1996 / 17 - 129,5,"64,00",-,,24,1994/02/28,"3,33",,1,20,-,1,,"4,5 Wk; 04,3 Wk__ GLLWS",3,3.75,-,6,"04,2 Wk__",,-,3,5.19,,153,"4,30","10,62",,B_121_314,7.5,,-,,3,onbekend,,1995/10/24,516418.61,8.75,,5690008.02,-,,Dieptecijfer gewijzigd naar LAT,-,4,-,153
Point,2.548481018319102,51.408860094373814,Feature,50,,"002\xb0 32,909 E",99,"19,00","51\xb0 24,532 N",1997 / 05 - 069,4,"43,25",-,,6,1987/07/03,"11,67",,1,16,-,1,,"19,7 Wk; 17,7 Wk__ GLLWS",4,5,-,6,"17,6 Wk__",,-,3,19.06,,225,"17,70","37,41",,B_124_232,7.5,,-,,5,onbekend,,2006/10/12,468596.43,8.75,,5695389.99,-,,"Het wrak had voor 1963 een andere benaderende positie, namelijk 51 \xb024 N en 002\xb0 32,2 E ( zie BAZ 1963/18-146. Het teken op de kaart was ""gevaarlijk wrak PA ""

B_124_232

Midden 51\xb0 24'.532 - 002\xb0 32'.909
Pt_01  51\xb0 24'.547 - 002\xb0 32'.915
Pt_02  51\xb0 24'.520 - 002\xb0 32'.906

Dieptecijfer gewijzigd naar LAT",-,1,-,225
Point,2.751926775925142,51.3732300975013,Feature,"51,02",,"002\xb0 45,116 E",99,"22,00","51\xb0 22,394 N",2002 / 22 - 135,3,"78,50",,,24,1983/11/10,"8,16",,1,12,,4,,"? ; 15,0 Wk__ ; 17,0 Wk__",4,5,150 dm,"2,50",#,,,1,22.61,,175,"17,00","183,65",,B_122_245,2.5,,-,Stoomschip,2,SS Ino,,1996/03/15,482732.84,35,,5691360.02,,,Volgens de BAZ van 1953 en 1963 is het wrak met springstoffen opgeruimd geweest. Dit is in tegenspraak met het duikersonderzoek van 23/08/1988. In 2002 werd het wrak volledig opgeruimd tot omringende bodem en dieper tot 23 m.,,4,Staal,175
Point,2.902197260083296,51.38902568871465,Feature,"7,5",,"002\xb0 54,132 E",99,"14,50","51\xb0 23,342 N",1997 / 05 - 069,4,"57,50",,,24,1994/05/16,"0,83",,1,16,,1,,"16,0  Obstn__ GLLWS",1,1.25,,6,"15,9  Obstn__",,,3,16.48,,202,"16,00","136,74",,B_123_254,7.5,,,,4,onbekend,,1996/05/21,493194.77,8.75,,5693092,,,"Op 21/10/1993 had de YMUIDEN MARU een anker verloren. Een uitgebreid SSS onderzoek werd uitgevoerd. Hierbij zijn een zestal kontaktpunten waargenomen. In deze positie werden door duikers op 16/05/1994 een stalen plaat van 6m lengte en 3 cm dikte gevonden. Deze plaat steekt  een 1.5 m boven de bodem uit.

Dieptecijfer gewijzigd naar LAT",,4,,202
Point,2.759558896913357,51.34512831992359,Feature,"5,83",,"002\xb0 45,574 E",99,"22,00","51\xb0 20,708 N",1996 / 17 - 129,3,"71,00",-,,24,1990/08/23,"2,50",,1,12,-,3,,"19,0 Wk__ GLLWS",1,1.25,-,6,"18,9 Wk__",,-,3,21.87,,136,,"324,46",,B_120_245,7.5,,-,,2,onbekend,,1995/05/05,483253.83,26.25,,5688233.04,-,,Dieptecijfer gewijzigd naar LAT,-,4,-,135
Point,3.161610563808782,51.432304620857416,Feature,"51,67",,"003\xb0 09,697 E",99,"6,10","51\xb0 25,938 N",1997 / 05 - 069,5,"47,25",-,,6,1994/02/21,"5,00",,1,20,-,1,,"4,2 Wk",4,5,-,6,"04,3 Wk__",,-,3,5.58,,242,"4,30","346,40",,B_126_309,7.5,,-,,5,onbekend,,2007/03/29,511234.44,8.75,,5697912.97,-,,Dieptecijfer ongewijzigd in LAT,-,1,-,241
Point,2.621746052782478,51.6989915131432,Feature,"145,83",,"002\xb0 37,305 E",99,"31,00","51\xb0 41,939 N",,2,"46,75",,,0,,"19,44",,1,8,,3,,"19,5 Wk GLLWS",4,5,,5,"19,4 Wk",,,3,30.86,,276,,"208,00",,B_141_237,7.5,Ter Streep,,,5,CALLISTO,,2016/09/05,473858.9,26.25,,5727627.77,,,"B_141_237

Midden 51\xb0 41'.939 - 002\xb0 37'.305
Pt_01  51\xb0 41'.973 - 002\xb0 37'.337
Pt_02  51\xb0 41'.902 - 002\xb0 37'.275

Dieptecijfer gewijzigd naar LAT",,0,,275
Point,3.318385857937056,51.39745508669052,Feature,"6,94",,"003\xb0 19,103 E",1,"11,50","51\xb0 23,847 N",2001 / 26 - 173,5,"56,50",,,24,1966/11/24,"3,27",,1,20,,1,,-,1,1.25,,3,#,,,1,9.37,,212,"9,40","264,81",,B_123_319,2.5,,-,,4,Minensuchboot M3248,,1996/04/24,522149.57,8.75,,5694073,,,Het wrak werd volledig opgeruimd in 2001.,,4,,212
Point,3.220129107911864,51.39266864405295,Feature,"38,33",,"003\xb0 13,208 E",99,"8,00","51\xb0 23,560 N",1986 / 26 - 143,5,"65,25",,,24,1986/09/24,"8,33",,1,20,,1,,"5,4 Wk ; 5,1 Wk ; 5,4 Wk__",4,5,,6,"06,2 Wk__",,,3,7.75,,208,"6,20","295,46",,B_123_313,7.5,,,,3,onbekend,,1995/09/21,515315.62,8.75,,5693515.59,,,Dieptecijfer ongewijzigd in LAT,,4,staal,208
Point,2.492783735307843,51.370263810706845,Feature,"37,5",,"002\xb0 29,567 E",99,"30,00","51\xb0 22,216 N",1996 / 17 - 129,3,"65,50",,,6,1987/07/02,"9,17",,1,12,,4,,"22,0 Wk  ; 23,0 Wk__ ; 24,5 Wk__ GLLWS",4,5,,6,"24,0 Wk__",,,3,28.33,,172,"24,70","157,96",,B_122_229_b,7.5,,-,,3,onbekend,,2015/05/12,464692.96,35,,5691123.02,,,"B_122_229_b

Midden 51\xb0 22'.216 - 002\xb0 29'.567
Pt_01  51\xb0 22'.226 - 002\xb0 29'.560
Pt_02  51\xb0 22'.208 - 002\xb0 29'.575

Dieptecijfer gewijzigd naar LAT",,1,,172
Point,2.670619945036525,51.33936080870528,Feature,"17,5",,"002\xb0 40,237 E",99,"25,00","51\xb0 20,362 N",1997 / 05 - 069,3,"56,00",,,24,1992/06/10,"6,67",,1,12,,1,,"24,0 Wk__ ; 24,0 Wk__ GLLWS",3,3.75,,6,"23,5 Wk__",,,3,24.47,,134,"24,30","21,25",,B_120_240,7.5,,-,,4,onbekend,,1996/08/22,477056.57,8.75,,5687615.69,,,"Het wrak steekt nauwelijks boven de omringende bodem uit.

Dieptecijfer gewijzigd naar LAT",,4,,133
Point,2.932827063850771,51.366666634556054,Feature,u,,"002\xb0 55,970 E",99,"15,00","51\xb0 22,000 N",1961 / 20 - 143,4,"77,25",,,30,,,,1,16,,3,,"8,4 Wk ; 7,6 Wk__ ;   +++",2,2.5,,6,#,,,1,14.86,,160,"15,00",,,B_122_256,2.5,,Ackermans & Van Haaren,,2,onbekend,,,495323.75,26.25,,5690603.03,,,Het wrak werd opgeruimd in 1961 tot omringende bodem.,,5,,160
Point,3.177030512318849,51.36425012790733,Feature,"19,17",,"003\xb0 10,622 E",99,"11,20","51\xb0 21,855 N",1997 / 05 - 069,4,"42,00",,,6,1993/03/25,"6,67",,1,16,,1,,"zichtbaar bij LW ; 5,3 Obstn ; 7,3 Obstn; 07,4 Wk__ GLLWS",3,3.75,,"2,50","07,4 Wk__",,,3,13.97,,156,"7,40","9,87",,B_121_310,7.5,,-,,5,SOLENT,,2007/05/16,512324.64,8.75,,5690347.02,,,"In een voorlopig Bericht Aan Zeevarenden van 08 juli 1929 werd een gezonken Engels vaartuig"" SOLENT"" gemeld . In de BAZ van 29 augustus 1929 werd de positie vermeld nl 51\xb022\' N - 3\xb010\'30"" E . Er werden geen berichten gevonden die het opruimen van het wrak bevestigen. In een later bericht , BAZ 1972/23-149 (T), wordt een kleihompel gemeld in deze positie. Op 01/07/1992 werd een duikersonderzoek uitgevoerd door Piet Lagast ( Tijdelijke Vereniging  voor Bergingswerken ). Het onderzoek bevestigd de aanwezigheid van een wrak , vermoedelijk in hout. De inhoud van het wrak is slijk en zand.

Dieptecijfer ongewijzigd naar LAT",,1,,156
Point,3.030690688215096,51.384395772444954,Feature,"47,63",,"003\xb0 01,841 E",99,"10,00","51\xb0 23,064 N",1988 / 11 - 089,5,"65,25",,,24,,"9,28",,1,20,,1,,"3,2 Wk; 06,3 Wk__ GLLWS",4,5,,5,"06,2 Wk__",,,3,9.19,,199,"6,30","224,50",,B_123_301,7.5,,,,3,NEUTRON,,1999/08/23,502135.71,8.75,,5692573.01,,,"In 1965 op 4 augustus stootte het Nederlands schip de NEUTRON op het wrak van de SANSIP en zonk ongeveer een twintigtal minuten later. Volgens de vereniging ""Zeevaart"" was op verzoek van de verzekeringsmaatschappij op en in de positie 51\xb0 23' 32'' N en 003\xb0 02' 52'' E een duikersonderzoek uitgevoerd in 1965. Het wrak van de NEUTRON werd niet gevonden . Dit bevestigd het vermoeden dat de 2 wrakstukken  in de onderzochte positie enkel tot de SANSIP toebehoren. In dit geval zou de NEUTRON westelijker moeten liggen ten opzichte van de SANSIP. In 1970 werd het wrak B 123/301 ontdekt en zeer waarschijnlijk is dit gevonden wrak de NEUTRON.

Dieptecijfer gewijzigd naar LAT",,4,,199
Point,3.299086265130251,51.402640216713834,Feature,u,,"003\xb0 17,945 E",99,"12,10","51\xb0 24,158 N",2002 / 05 - 067,4,"53,25",Zeebrugge,,6,,,,3,16,Duits,3,,-,2,2.5,,,#,,-,1,11.75,,,"9,80",,,B_124_318,2.5,,-,Vissersboot,4,PRANGENHOF,,2014/11/24,520804.58,26.25,,5694643.99,-,,Het wrak werd volledig opgeruimd in 2001.,"Voorpostenflotille ""Flandern""",1,Staal,297
